ObjetosID,Objetos,TituloID
156,Utensilios de cocina,263
26,Copa Berkemeyer,264
0,Enseres domésticos,264
21,Objeto de adorno o servicio de mesa,264
27,Vaso / copa,264
35,Crucifijo,271
68,Flagelo / disciplina,271
64,Objeto o atributo de santos y mártires,271
8,Objetos de iconografía cristiana,271
36,Elemento de arquitectura,273
5,Libro,273
109,Ventana / vidriera,273
110,Ventana acristalada con piezas poligonales de vidrio plano,273
0,Enseres domésticos,274
1,Florero,274
157,Mantilla,274
29,Objeto uso individual,274
0,Enseres domésticos,275
1,Florero,275
88,Herramienta / utensilios de trabajo,277
158,Huerto,277
89,Instrumentos agrícolas / ganaderos / de pesca / de caza,277
64,Objeto o atributo de santos y mártires,278
8,Objetos de iconografía cristiana,278
65,Palma,278
35,Crucifijo,279
8,Objetos de iconografía cristiana,279
47,Alimentos,280
19,Armas,280
147,Barril,280
38,Corona,280
56,Cuenco,280
0,Enseres domésticos,280
57,Jarro / jarra / jarrón,280
21,Objeto de adorno o servicio de mesa,280
29,Objeto uso individual,280
58,Puñal,280
52,Recipiente,280
30,Sombrero,280
27,Vaso / copa,280
55,Vino,280
150,Báculo,281
5,Libro,281
29,Objeto uso individual,281
24,Cestería,288
0,Enseres domésticos,288
159,Hacha,288
88,Herramienta / utensilios de trabajo,288
14,Mesa,288
15,Mueble,288
16,Mueble de asiento o reposo,288
0,Enseres domésticos,290
99,Espejo,290
160,Fuente,290
21,Objeto de adorno o servicio de mesa,290
161,Cruz,293
8,Objetos de iconografía cristiana,293
162,Piedras preciosas,293
24,Cestería,295
25,Cesto de costura,295
0,Enseres domésticos,295
5,Libro,295
14,Mesa,295
15,Mueble,295
16,Mueble de asiento o reposo,295
18,Silla / sillón,295
8,Objetos de iconografía cristiana,296
32,Rosario,296
35,Crucifijo,298
17,Objeto de iluminación,298
8,Objetos de iconografía cristiana,298
163,Vela / cirio,298
22,Botella,300
164,Botella de peregrino revestida,300
0,Enseres domésticos,300
