FaunaID,Fauna,TituloID
172,Libélula (Anax parthenope),497
86,Loro gris africano (Psittacus erithacus),497
135,Loro verde del amazonas (Amazona aestiva),497
30,Mariposa ícaro / Ícaro (Polyommatus icarus),497
25,Mariquita /mariquita de 7 puntos / mariquita común (Coccinella septempunctata),497
87,Martín pescador (Alcedo atthis),497
10,Mono (Primates),497
31,Mosca (Scaeva pyrastri),497
173,Puercoespín (Hystrix cristata),497
174,Roquero solitario ( Monticola solitarius),497
168,Saltamontes común de campo (Chorthippus brunneus),497
175,Tucán pechiblanco (Ramphastos tucanus),497
122,Abejorro carpintero (Xylocopa violacea),499
0,Artrópodos (Filo: Arthropoda),499
160,Esfinge ocelada (Smerinthus ocellatus),499
176,Veloz de las riberas (Gegenes nostradamus),499
0,Artrópodos (Filo: Arthropoda),501
2,Oveja (Ovis aries),504
2,Oveja (Ovis aries),505
63,Chocha perdiz (Scolopax rusticola),516
0,Artrópodos (Filo: Arthropoda),522
60,Vulcana / atalanta /numerada (Vanessa atalanta),522
177,Grulla damisela (Anthropoides virgo),523
13,Paloma (Columba ssp),523
52,Pavo real (Pavo cristatus),523
15,Perro (Canis lupus familiaris),523
13,Paloma (Columba ssp),527
0,Artrópodos (Filo: Arthropoda),530
106,Blanquita de la col (Pieris rapae),530
158,Caballito del diablo (Calopteryx sp.),530
60,Vulcana / atalanta /numerada (Vanessa atalanta),530
2,Oveja (Ovis aries),533
0,Artrópodos (Filo: Arthropoda),538
106,Blanquita de la col (Pieris rapae),538
136,Loba (Maniola jurtina),538
133,Mosca doméstica (Musca domestica),538
120,Polilla / Pequeña urraca (Anania hortulata),538
60,Vulcana / atalanta /numerada (Vanessa atalanta),538
13,Paloma (Columba ssp),539
13,Paloma (Columba ssp),540
178,Abubilla (Upupa epops),547
179,Araña (Segestria florentina),547
36,Arrendajo común (Garrulus glandarius),547
0,Artrópodos (Filo: Arthropoda),547
14,Caballo (Equus ferus caballus),547
38,Cabra (Capra aegagrus),547
180,Camarón renacuajo (Lepidurus apus) o Tortuguitas/tortuguetas (Triops cancriformis),547
181,Cangrejo de herradura / Cangrejo de las Molucas (Género: Carcinoscorpius / Tachypleus),547
78,Carbonero común (Parus major),547
182,Cerdo (Sus scrofa domestica),547
183,Cigüeña blanca / Cigüeña común (Ciconia ciconia),547
65,Cisne vulgar (Cygnus olor),547
5,Conejo (Oryctolagus cuniculus),547
184,Corneja cenicienta (Corvus corone cornix),547
185,Críalo (Clamator glandarius),547
186,Cárabo (Strix aluco),547
80,Espátula (Platalea leucorodia),547
7,Jilguero (Carduelis carduelis),547
136,Loba (Maniola jurtina),547
87,Martín pescador (Alcedo atthis),547
88,Mochuelo común (Athene noctua),547
95,Ortiguera (Aglais urticae),547
187,Pato doméstico (Anas platyrhynchos),547
52,Pavo real (Pavo cristatus),547
148,Petirrojo (Erithacus rubecula),547
55,Pito real (Picus viridis),547
